Year,Points scored,Points allowed
Milwaukee Bucks,118.1,109.3
Toronto Raptors,114.4,108.4
Philadelphia 76ers,115.2,112.5
Boston Celtics,112.4,108.0
Indiana Pacers,108.0,104.7
Brooklyn Nets,112.2,112.3
Orlando Magic,107.3,106.6
Detroit Pistons,107.0,107.3
Charlotte Hornets,110.7,111.8
Miami Heat,105.7,105.9
Washington Wizards,114.0,116.9
Atlanta Hawks,113.3,119.4
Chicago Bulls,104.9,113.4
Cleveland Cavaliers,104.5,114.1
New York Knicks,104.6,113.8
Golden State Warriors,117.7,111.2
Denver Nuggets,110.7,106.7
Portland Trail Blazers,114.7,110.5
Houston Rockets,113.9,109.1
Utah Jazz,111.7,106.5
Oklahoma City Thunder,114.5,111.1
San Antonio Spurs,111.7,110.0
Los Angeles Clippers,115.1,114.3
Sacramento Kings,114.2,115.3
Los Angeles Lakers,111.8,113.5
Minnesota Timberwolves,112.5,114.0
Memphis Grizzlies,103.5,106.1
New Orleans Pelicans,115.4,116.8
Dallas Mavericks,108.9,110.1
Phoenix Suns,107.5,116.8
